"","species","species.code","route","stop","date","year","occ.hist","julday","time.m","cloud.cover","wind","noise","snow.cover","precip","temp","lat","long"
"5011","Barred Owl","BARR","13-2-A",1,"2004-03-05","2004","0000010110000000",65,1,28.7106598984772,1,1,3,0,2,NA,NA
"5012","Great Horned Owl","GHOW","13-2-A",1,"2004-03-05","2004","0000000000000000",65,1,28.7106598984772,1,1,3,0,2,NA,NA
"5013","Northern Saw-whet Owl","NSWO","13-2-A",1,"2004-03-05","2004","0000000000000000",65,1,28.7106598984772,1,1,3,0,2,NA,NA
"5014","Barred Owl","BARR","13-2-A",2,"2004-03-05","2004","0000000000000000",65,35,28.7106598984772,1,1,1.74016686531585,0,2,NA,NA
"5015","Great Horned Owl","GHOW","13-2-A",2,"2004-03-05","2004","0010000000000000",65,35,28.7106598984772,1,1,1.74016686531585,0,2,NA,NA
"5016","Northern Saw-whet Owl","NSWO","13-2-A",2,"2004-03-05","2004","0000110111111001",65,35,28.7106598984772,1,1,1.74016686531585,0,2,NA,NA
"5017","Barred Owl","BARR","13-2-A",3,"2004-03-05","2004","0000000000000001",65,55,28.7106598984772,1,2,1.74016686531585,0,2,NA,NA
"5018","Great Horned Owl","GHOW","13-2-A",3,"2004-03-05","2004","0000000000000000",65,55,28.7106598984772,1,2,1.74016686531585,0,2,NA,NA
"5019","Northern Saw-whet Owl","NSWO","13-2-A",3,"2004-03-05","2004","0000000000000000",65,55,28.7106598984772,1,2,1.74016686531585,0,2,NA,NA
"5020","Barred Owl","BARR","13-2-A",4,"2004-03-05","2004","0000000000000000",65,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"5021","Great Horned Owl","GHOW","13-2-A",4,"2004-03-05","2004","0000000000000000",65,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"5022","Northern Saw-whet Owl","NSWO","13-2-A",4,"2004-03-05","2004","0000000000000000",65,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"5023","Barred Owl","BARR","13-2-A",5,"2004-03-05","2004","0000000000000000",65,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"5024","Great Horned Owl","GHOW","13-2-A",5,"2004-03-05","2004","0000000000000000",65,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"5025","Northern Saw-whet Owl","NSWO","13-2-A",5,"2004-03-05","2004","0000000000000000",65,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"5026","Barred Owl","BARR","13-2-A",6,"2004-03-05","2004","0000000000100000",65,125,28.7106598984772,1,2,1.74016686531585,0,2,NA,NA
"5027","Great Horned Owl","GHOW","13-2-A",6,"2004-03-05","2004","0000000000000000",65,125,28.7106598984772,1,2,1.74016686531585,0,2,NA,NA
"5028","Northern Saw-whet Owl","NSWO","13-2-A",6,"2004-03-05","2004","0000000000000000",65,125,28.7106598984772,1,2,1.74016686531585,0,2,NA,NA
"5029","Barred Owl","BARR","13-2-A",7,"2004-03-05","2004","0000000000000000",65,150,28.7106598984772,1,2,1.74016686531585,0,2,NA,NA
"5030","Great Horned Owl","GHOW","13-2-A",7,"2004-03-05","2004","0000000000011000",65,150,28.7106598984772,1,2,1.74016686531585,0,2,NA,NA
