"","species","species.code","stop","date","year","occ.hist","julian.z","time.m.z","cloud.cover.z","wind.z","noise.z","snow.cover.z","precip.z","temp.z","lat.z"
"5011","Barred Owl","BARR",1,"2004-03-05","2004","0000010110000000",-2.88847059783601,-0.813241320285824,0,0.48593174642507,-0.597749937824425,1.55253421661516,-0.181053749544983,0.405850249150058,0
"5012","Great Horned Owl","GHOW",1,"2004-03-05","2004","0000000000000000",-2.88847059783601,-0.813241320285824,0,0.48593174642507,-0.597749937824425,1.55253421661516,-0.181053749544983,0.405850249150058,0
"5013","Northern Saw-whet Owl","NSWO",1,"2004-03-05","2004","0000000000000000",-2.88847059783601,-0.813241320285824,0,0.48593174642507,-0.597749937824425,1.55253421661516,-0.181053749544983,0.405850249150058,0
"5014","Barred Owl","BARR",2,"2004-03-05","2004","0000000000000000",-2.88847059783601,-0.652362242066531,0,0.48593174642507,-0.597749937824425,0,-0.181053749544983,0.405850249150058,0
"5015","Great Horned Owl","GHOW",2,"2004-03-05","2004","0010000000000000",-2.88847059783601,-0.652362242066531,0,0.48593174642507,-0.597749937824425,0,-0.181053749544983,0.405850249150058,0
"5016","Northern Saw-whet Owl","NSWO",2,"2004-03-05","2004","0000110111111001",-2.88847059783601,-0.652362242066531,0,0.48593174642507,-0.597749937824425,0,-0.181053749544983,0.405850249150058,0
"5017","Barred Owl","BARR",3,"2004-03-05","2004","0000000000000001",-2.88847059783601,-0.557727490172829,0,0.48593174642507,1.05415998887263,0,-0.181053749544983,0.405850249150058,0
"5018","Great Horned Owl","GHOW",3,"2004-03-05","2004","0000000000000000",-2.88847059783601,-0.557727490172829,0,0.48593174642507,1.05415998887263,0,-0.181053749544983,0.405850249150058,0
"5019","Northern Saw-whet Owl","NSWO",3,"2004-03-05","2004","0000000000000000",-2.88847059783601,-0.557727490172829,0,0.48593174642507,1.05415998887263,0,-0.181053749544983,0.405850249150058,0
"5020","Barred Owl","BARR",4,"2004-03-05","2004","0000000000000000",-2.88847059783601,0,0,0,0,0,0,0,0
"5021","Great Horned Owl","GHOW",4,"2004-03-05","2004","0000000000000000",-2.88847059783601,0,0,0,0,0,0,0,0
"5022","Northern Saw-whet Owl","NSWO",4,"2004-03-05","2004","0000000000000000",-2.88847059783601,0,0,0,0,0,0,0,0
"5023","Barred Owl","BARR",5,"2004-03-05","2004","0000000000000000",-2.88847059783601,0,0,0,0,0,0,0,0
"5024","Great Horned Owl","GHOW",5,"2004-03-05","2004","0000000000000000",-2.88847059783601,0,0,0,0,0,0,0,0
"5025","Northern Saw-whet Owl","NSWO",5,"2004-03-05","2004","0000000000000000",-2.88847059783601,0,0,0,0,0,0,0,0
"5026","Barred Owl","BARR",6,"2004-03-05","2004","0000000000100000",-2.88847059783601,-0.226505858544873,0,0.48593174642507,1.05415998887263,0,-0.181053749544983,0.405850249150058,0
"5027","Great Horned Owl","GHOW",6,"2004-03-05","2004","0000000000000000",-2.88847059783601,-0.226505858544873,0,0.48593174642507,1.05415998887263,0,-0.181053749544983,0.405850249150058,0
"5028","Northern Saw-whet Owl","NSWO",6,"2004-03-05","2004","0000000000000000",-2.88847059783601,-0.226505858544873,0,0.48593174642507,1.05415998887263,0,-0.181053749544983,0.405850249150058,0
"5029","Barred Owl","BARR",7,"2004-03-05","2004","0000000000000000",-2.88847059783601,-0.108212418677745,0,0.48593174642507,1.05415998887263,0,-0.181053749544983,0.405850249150058,0
"5030","Great Horned Owl","GHOW",7,"2004-03-05","2004","0000000000011000",-2.88847059783601,-0.108212418677745,0,0.48593174642507,1.05415998887263,0,-0.181053749544983,0.405850249150058,0
"5031","Northern Saw-whet Owl","NSWO",7,"2004-03-05","2004","0000000000000000",-2.88847059783601,-0.108212418677745,0,0.48593174642507,1.05415998887263,0,-0.181053749544983,0.405850249150058,0
"5032","Barred Owl","BARR",8,"2004-03-05","2004","0000000000000000",-2.88847059783601,-0.0135776667840435,0,0.48593174642507,1.05415998887263,0,-0.181053749544983,0.171479812005111,0
"5033","Great Horned Owl","GHOW",8,"2004-03-05","2004","0110100011001001",-2.88847059783601,-0.0135776667840435,0,0.48593174642507,1.05415998887263,0,-0.181053749544983,0.171479812005111,0
"5034","Northern Saw-whet Owl","NSWO",8,"2004-03-05","2004","0000000000000000",-2.88847059783601,-0.0135776667840435,0,0.48593174642507,1.05415998887263,0,-0.181053749544983,0.171479812005111,0
"5035","Barred Owl","BARR",9,"2004-03-05","2004","0000000000000000",-2.88847059783601,0,0,0,0,0,0,0,0
"5036","Great Horned Owl","GHOW",9,"2004-03-05","2004","0000000000000000",-2.88847059783601,0,0,0,0,0,0,0,0
"5037","Northern Saw-whet Owl","NSWO",9,"2004-03-05","2004","0000000000000000",-2.88847059783601,0,0,0,0,0,0,0,0
"5038","Barred Owl","BARR",10,"2004-03-05","2004","0000000000000000",-2.88847059783601,0,0,0,0,0,0,0,0
"5039","Great Horned Owl","GHOW",10,"2004-03-05","2004","0000000000000000",-2.88847059783601,0,0,0,0,0,0,0,0
"5040","Northern Saw-whet Owl","NSWO",10,"2004-03-05","2004","0000000000000000",-2.88847059783601,0,0,0,0,0,0,0,0
"1981","Barred Owl","BARR",1,"2004-03-10","2004","0000000000000000",-2.36574216499483,0,0,0,0,0,0,0,0
"1982","Great Horned Owl","GHOW",1,"2004-03-10","2004","0000000000000000",-2.36574216499483,0,0,0,0,0,0,0,0
"1983","Northern Saw-whet Owl","NSWO",1,"2004-03-10","2004","0000000000000000",-2.36574216499483,0,0,0,0,0,0,0,0
"1984","Barred Owl","BARR",2,"2004-03-10","2004","0000000000000000",-2.36574216499483,0,0,0,0,0,0,0,0
"1985","Great Horned Owl","GHOW",2,"2004-03-10","2004","0000000000000000",-2.36574216499483,0,0,0,0,0,0,0,0
"1986","Northern Saw-whet Owl","NSWO",2,"2004-03-10","2004","0000000000000000",-2.36574216499483,0,0,0,0,0,0,0,0
"1987","Barred Owl","BARR",3,"2004-03-10","2004","0000000000000000",-2.36574216499483,0,0,0,0,0,0,0,0
"1988","Great Horned Owl","GHOW",3,"2004-03-10","2004","0000000000000000",-2.36574216499483,0,0,0,0,0,0,0,0
"1989","Northern Saw-whet Owl","NSWO",3,"2004-03-10","2004","0000000000000000",-2.36574216499483,0,0,0,0,0,0,0,0
"1990","Barred Owl","BARR",4,"2004-03-10","2004","0000000000000000",-2.36574216499483,0,0,0,0,0,0,0,0
"1991","Great Horned Owl","GHOW",4,"2004-03-10","2004","0000000000000000",-2.36574216499483,0,0,0,0,0,0,0,0
"1992","Northern Saw-whet Owl","NSWO",4,"2004-03-10","2004","0000000000000000",-2.36574216499483,0,0,0,0,0,0,0,0
"1993","Barred Owl","BARR",5,"2004-03-10","2004","0000000000000000",-2.36574216499483,-0.411043624737591,-0.731957599603146,-0.702602611714171,-0.597749937824425,-0.912132212410609,-0.181053749544983,0,0.650913578570231
"1994","Great Horned Owl","GHOW",5,"2004-03-10","2004","1110010011111011",-2.36574216499483,-0.411043624737591,-0.731957599603146,-0.702602611714171,-0.597749937824425,-0.912132212410609,-0.181053749544983,0,0.650913578570231
"1995","Northern Saw-whet Owl","NSWO",5,"2004-03-10","2004","0000000000000000",-2.36574216499483,-0.411043624737591,-0.731957599603146,-0.702602611714171,-0.597749937824425,-0.912132212410609,-0.181053749544983,0,0.650913578570231
"1996","Barred Owl","BARR",6,"2004-03-10","2004","0000000000000000",-2.36574216499483,-0.33533582322263,-0.477014800590028,-0.702602611714171,-0.597749937824425,-0.912132212410609,-0.181053749544983,0,0.587892422841494
"1997","Great Horned Owl","GHOW",6,"2004-03-10","2004","0000000001011000",-2.36574216499483,-0.33533582322263,-0.477014800590028,-0.702602611714171,-0.597749937824425,-0.912132212410609,-0.181053749544983,0,0.587892422841494
"1998","Northern Saw-whet Owl","NSWO",6,"2004-03-10","2004","0000000000000000",-2.36574216499483,-0.33533582322263,-0.477014800590028,-0.702602611714171,-0.597749937824425,-0.912132212410609,-0.181053749544983,0,0.587892422841494
"1999","Barred Owl","BARR",7,"2004-03-10","2004","0000000000000000",-2.36574216499483,0,0,0,0,0,0,0,0
"2000","Great Horned Owl","GHOW",7,"2004-03-10","2004","0000000000000000",-2.36574216499483,0,0,0,0,0,0,0,0
"2001","Northern Saw-whet Owl","NSWO",7,"2004-03-10","2004","0000000000000000",-2.36574216499483,0,0,0,0,0,0,0,0
"2002","Barred Owl","BARR",8,"2004-03-10","2004","0000000000000000",-2.36574216499483,0,0,0,0,0,0,0,0
"2003","Great Horned Owl","GHOW",8,"2004-03-10","2004","0000000000000000",-2.36574216499483,0,0,0,0,0,0,0,0
"2004","Northern Saw-whet Owl","NSWO",8,"2004-03-10","2004","0000000000000000",-2.36574216499483,0,0,0,0,0,0,0,0
"2005","Barred Owl","BARR",9,"2004-03-10","2004","0000000000000000",-2.36574216499483,0,0,0,0,0,0,0,0
"2006","Great Horned Owl","GHOW",9,"2004-03-10","2004","0000000000000000",-2.36574216499483,0,0,0,0,0,0,0,0
"2007","Northern Saw-whet Owl","NSWO",9,"2004-03-10","2004","0000000000000000",-2.36574216499483,0,0,0,0,0,0,0,0
"2008","Barred Owl","BARR",10,"2004-03-10","2004","0000000000000000",-2.36574216499483,0,0,0,0,0,0,0,0
"2009","Great Horned Owl","GHOW",10,"2004-03-10","2004","0000000000000000",-2.36574216499483,0,0,0,0,0,0,0,0
"2010","Northern Saw-whet Owl","NSWO",10,"2004-03-10","2004","0000000000000000",-2.36574216499483,0,0,0,0,0,0,0,0
"631","Barred Owl","BARR",1,"2004-03-17","2004","0000000000000000",-1.63392235901719,-0.817973057880509,1.56252759151492,2.86300046270355,-0.597749937824425,0.320201002102275,-0.181053749544983,-0.766001936574674,0
"632","Great Horned Owl","GHOW",1,"2004-03-17","2004","0000000000100000",-1.63392235901719,-0.817973057880509,1.56252759151492,2.86300046270355,-0.597749937824425,0.320201002102275,-0.181053749544983,-0.766001936574674,0
"633","Northern Saw-whet Owl","NSWO",1,"2004-03-17","2004","0000000000000000",-1.63392235901719,-0.817973057880509,1.56252759151492,2.86300046270355,-0.597749937824425,0.320201002102275,-0.181053749544983,-0.766001936574674,0
"634","Barred Owl","BARR",2,"2004-03-17","2004","0000000000000000",-1.63392235901719,0,0,0,0,0,0,0,0
"635","Great Horned Owl","GHOW",2,"2004-03-17","2004","0000000000000000",-1.63392235901719,0,0,0,0,0,0,0,0
"636","Northern Saw-whet Owl","NSWO",2,"2004-03-17","2004","0000000000000000",-1.63392235901719,0,0,0,0,0,0,0,0
"637","Barred Owl","BARR",3,"2004-03-17","2004","0000000000000000",-1.63392235901719,0,0,0,0,0,0,0,0
"638","Great Horned Owl","GHOW",3,"2004-03-17","2004","0000000000000000",-1.63392235901719,0,0,0,0,0,0,0,0
"639","Northern Saw-whet Owl","NSWO",3,"2004-03-17","2004","0000000000000000",-1.63392235901719,0,0,0,0,0,0,0,0
"640","Barred Owl","BARR",4,"2004-03-17","2004","0000000000000000",-1.63392235901719,-0.534068802199404,1.3075847925018,4.05153482084279,-0.597749937824425,0.320201002102275,-0.181053749544983,-0.766001936574674,0
"641","Great Horned Owl","GHOW",4,"2004-03-17","2004","0000000000000011",-1.63392235901719,-0.534068802199404,1.3075847925018,4.05153482084279,-0.597749937824425,0.320201002102275,-0.181053749544983,-0.766001936574674,0
"642","Northern Saw-whet Owl","NSWO",4,"2004-03-17","2004","0000000000000000",-1.63392235901719,-0.534068802199404,1.3075847925018,4.05153482084279,-0.597749937824425,0.320201002102275,-0.181053749544983,-0.766001936574674,0
"643","Barred Owl","BARR",5,"2004-03-17","2004","0000000000000000",-1.63392235901719,0,0,0,0,0,0,0,0
